Gemeindename,Median Einkommen,Ergänzungsleistungen in % zu Median,Einkommen aus Vermögenserträgen,Frei verfügbares Einkommen,Kanton,Id,12500,15000,17500,20000,25000,30000,35000,40000,45000,50000,60000,70000,80000,90000,100000,125000,150000,175000,200000,250000,300000,400000,500000,1000000,Total Aktiven,Finanzvermögen¹,Verwaltungsvermögen,Total Passiven,Fremdkapital,Eigenkapital,Spezielfinanzierung EK,Fond im EK,Aufwertungsreserven,überiges Eigentkapital,Bilanzüberschuss,score,score_normalized,rank
Eschenbach,110585.0,2.0,0.9,37871.0,LU,1026,0.4,0.5477166666666666,0.8563285714285715,1.2908875,3.2735800000000004,5.063633333333334,6.419614285714287,7.26735,7.889088888888889,8.42033,9.442858333333334,10.149057142857142,10.72101875,11.165877777777778,11.50484,12.121065,12.648100000000001,13.115948571428572,13.526495625,14.295831300000003,14.83850975,15.516857812500001,15.919940050000001,16.733957725,85114075,25104356,60009719,85114075,37818438,47295637,23385891,149100,12374091,0,11386554,11954193,1.1926109742635225,11.0
Root,103564.0,3.7,0.0,34167.0,LU,1065,0.4,0.5638666666666667,0.899314285714286,1.3693,3.5051200000000007,5.4325333333333345,6.892457142857145,7.8054000000000014,8.475022222222224,9.04712,10.147933333333334,10.908228571428573,11.523950000000003,12.002844444444447,12.367760000000002,13.031160000000003,13.598400000000002,14.101851428571432,14.543595000000003,15.371263200000005,15.955074,16.6848375,17.118473200000004,17.994189400000003,66283540,28189537,38094003,66283540,19025635,47257905,9600701,126200,3731045,0,33799958,11941248,1.1913195153535114,12.0
Dagmersellen,101952.0,3.0,0.0,33021.0,LU,1125,0.4,0.5733666666666667,0.9246000000000001,1.4154250000000002,3.64132,5.649533333333333,7.1706,8.1219,8.819688888888889,9.41582,10.562683333333332,11.3548,11.9962625,12.495177777777776,12.875359999999999,13.566510000000001,14.157399999999997,14.681794285714286,15.14188875,16.0038702,16.611876499999997,17.371884375,17.823492700000003,18.73550215,80175914,36620200,43555713,80175914,33141703,47034210,14760853,786337,8773065,0,22713956,11884518,1.185659842586812,13.0
Ballwil,109240.0,1.2,2.9,37334.0,LU,1023,0.4,0.5518333333333334,0.8672857142857143,1.310875,3.3326000000000002,5.1576666666666675,6.540142857142858,7.4045,8.038444444444446,8.5801,9.622583333333333,10.342571428571429,10.925687500000002,11.379222222222223,11.7248,12.35305,12.890333333333334,13.367257142857145,13.78575625,14.569961000000001,15.123124166666665,15.814578125,16.2254485,17.055193250000002,60179323,26642794,33536529,60179323,14165025,46014298,27868716,344277,7155221,0,10646084,11633185,1.16058558671738,14.0
Malters,99534.0,3.4,0.0,32259.0,LU,1062,0.4,0.5847666666666667,0.9549428571428572,1.470775,3.80476,5.909933333333332,7.504371428571428,8.5017,9.233288888888888,9.858260000000001,11.060383333333332,11.890685714285713,12.563037499999998,13.085977777777776,13.484479999999998,14.20893,14.828199999999999,15.377725714285711,15.85984125,16.7629986,17.400039500000002,18.196340624999998,18.6695161,19.62507745,94775387,30362236,64413151,94775387,52503113,42272275,5876608,653087,45660,0,35696920,10692825,1.0667704997635015,15.0
Neuenkirch,110867.0,2.1,1.0,35065.0,LU,1093,0.4,0.5816000000000001,0.9465142857142856,1.4554,3.7593599999999996,5.8376,7.411657142857142,8.3962,9.1184,9.735360000000002,10.922133333333333,11.74182857142857,12.4056,12.921866666666668,13.315280000000001,14.030479999999997,14.641866666666667,15.184411428571428,15.660409999999999,16.5521296,17.18110533333333,17.967325000000002,18.434509600000002,19.3779732,86077514,27163631,58913883,86077514,44507798,41569715,14006362,499139,3701124,0,23363091,10522852,1.0498131304849148,16.0
Hitzkirch,107926.0,2.8,2.4,34623.0,LU,1030,0.4,0.5885666666666667,0.9650571428571428,1.489225,3.85924,5.996733333333334,7.615628571428572,8.6283,9.371155555555557,10.005740000000001,11.226283333333335,12.069314285714286,12.751962500000003,13.282911111111112,13.687520000000001,14.423070000000001,15.051800000000002,15.60970285714286,16.09915875,17.016041400000002,17.6627605,18.471159375000003,18.9515239,19.92160255,61077812,34667995,26409818,61077812,21354493,39723319,11694318,1747877,7901445,0,18379679,10059782,1.0036149166989898,17.0
Escholzmatt-Marbach,78487.0,4.3,0.0,27129.0,LU,1010,0.4,0.5930000000000001,0.976857142857143,1.51075,3.9228000000000005,6.098000000000002,7.745428571428572,8.776000000000002,9.532000000000002,10.177800000000001,11.419833333333335,12.277714285714287,12.972375000000003,13.512666666666668,13.9244,14.672900000000002,15.312666666666669,15.88034285714286,16.3783625,17.311258000000006,17.969268333333336,18.791781250000003,19.280533000000005,20.207639999999998,59060107,18143975,40916132,59060107,19773049,39287058,13697543,338464,6694974,0,18556077,9935997,0.9912654967549408,18.0
Schenkon,128632.0,0.9,2.9,45081.0,LU,1099,0.4,0.5265,0.7998571428571428,1.1878749999999998,2.9693999999999994,4.579,5.7984285714285715,6.560499999999999,7.1193333333333335,7.5969,8.516583333333333,9.151714285714284,9.6661875,10.066333333333333,10.371199999999998,10.92545,11.399666666666667,11.820742857142855,12.190306249999999,12.883009000000001,13.371650833333332,13.982453125,14.3453965,15.07835925,81874677,50773750,31100927,81874677,42945796,38928881,4491128,1023992,7130196,0,26283564,9871528,0.9848337420643654,19.0
Emmen,81193.0,5.9,0.0,25910.0,LU,1024,0.4,0.58255,0.949042857142857,1.4600125,3.77298,5.8593,7.439471428571428,8.42785,9.152866666666666,9.77223,10.963608333333333,11.786485714285716,12.45283125,12.9711,13.366040000000002,14.084014999999999,14.697766666666666,15.242405714285715,15.720239375,16.6153903,17.24678558333333,18.036029687499997,18.50501155,19.452104475000002,284889931,100068812,184821120,284889931,246008627,38881305,27516394,858188,-6156176,0,16662898,9835912,0.9812805091142724,20.0
