Gemeindename,Total Anzahl Personen Sozialhilfe,Total Anzahl Dossiers,Total Sozialhilfequote,Total Sozialhilfequote Schweizer,Total Sozialhilfequote Ausländer,Alter 0-17,Alter 18-64,Alter 65+,obligatorische Schule,sekundarstufe I,tertiärstufe,Total Anzahl Unfälle 2021,Personenschaden absolut mit Personenschaden,Personenschaden pro 1000 Einwohner,Durchschnitt Anzahl 2017-2021,Total Verunfallte Personen,davon getötete Personen,davon verletze Personen,Lenker/innen,Mitfahrer/innen,Fussgänger/innen,Fahrzeugähnliche Geräte,Score,Rank
Schötz,93.0,59.0,2.0,1.5,4.1,2.4,2.1,0.9,0.0,0.9,0.0,15.0,7,1.5,7.0,8.0,0,8,4,1,3,0,36.75,46.0
Schüpfheim,101.0,53.0,2.4,1.4,15.1,4.4,2.4,0.2,0.0,1.3,0.2,12.0,5,1.2,6.0,5.0,0,5,4,0,1,0,35.0,44.0
Schwarzenberg,9.0,6.0,0.5,0.4,2.3,0.8,0.6,0.0,0.0,0.0,0.0,32.0,4,2.3,3.0,5.0,0,5,2,1,2,0,22.0,33.0
Sempach,15.0,11.0,0.4,0.2,1.3,0.2,0.4,0.1,0.0,0.1,0.0,29.0,11,2.6,14.0,11.0,0,11,10,1,0,0,26.5,38.0
Sursee,244.0,153.0,2.4,1.1,8.5,4.4,2.4,0.3,4.5,1.1,0.4,92.0,31,3.0,39.0,34.0,0,34,27,2,5,0,132.5,61.0
Triengen,79.0,41.0,1.7,0.8,4.2,3.0,1.7,0.0,0.0,1.0,0.6,20.0,10,2.2,9.0,10.0,1,9,8,0,2,0,37.25,47.0
Udligenswil,10.0,9.0,0.4,0.4,0.3,0.2,0.5,0.2,0.0,0.0,0.0,6.0,3,1.3,4.0,5.0,0,5,3,2,0,0,9.25,15.0
Ufhusen,8.0,4.0,0.9,0.5,6.8,1.7,0.7,0.7,0.0,0.0,0.0,6.0,4,4.3,2.0,4.0,0,4,4,0,0,0,8.0,11.0
Vitznau,9.0,6.0,0.6,0.5,1.0,1.5,0.7,0.0,0.0,0.0,0.0,2.0,0,0.0,4.0,0.0,0,0,0,0,0,0,3.25,4.0
Wauwil,44.0,32.0,1.8,1.1,4.4,1.8,2.3,0.0,0.0,0.0,0.0,2.0,0,0.0,2.0,0.0,0,0,0,0,0,0,12.0,21.0
Weggis,34.0,27.0,0.8,0.5,1.5,1.2,1.0,0.0,0.0,0.2,0.2,27.0,8,1.8,7.0,13.0,1,12,10,2,1,0,31.75,41.0
Werthenstein,23.0,18.0,1.1,0.5,4.9,0.7,1.5,0.0,0.0,0.0,0.0,11.0,6,2.8,6.0,6.0,0,6,5,0,1,0,15.75,26.0
Wikon,33.0,20.0,2.2,1.1,7.4,4.0,2.3,0.0,0.0,0.0,0.0,3.0,1,0.7,1.0,1.0,0,1,1,0,0,0,10.5,18.0
Willisau,236.0,133.0,2.6,1.3,11.5,4.9,2.7,0.1,4.6,1.5,0.1,42.0,20,2.2,23.0,25.0,0,25,18,5,2,0,98.75,60.0
Wolhusen,162.0,89.0,3.8,1.5,12.3,6.7,3.8,0.0,0.0,2.3,0.0,12.0,3,0.7,9.0,5.0,0,5,3,2,0,0,50.25,53.0
Zell,50.0,24.0,2.4,1.5,7.8,4.4,2.4,0.0,0.0,0.0,0.0,14.0,5,2.4,4.0,5.0,0,5,5,0,0,0,23.25,34.0
Doppleschwand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1.0
Eich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4,2.5,7.0,6.0,0,6,6,0,0,0,11.0,19.0
Honau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2.4,1.0,1.0,0,1,1,0,0,0,1.25,2.0
Rain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12,4.1,5.0,17.0,0,17,11,4,2,0,20.75,31.0
Romoos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1.0
Schenkon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9,2.9,11.0,11.0,0,11,8,1,2,0,20.75,31.0
Schlierbach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2,2.2,1.0,2.0,0,2,2,0,0,0,3.5,5.0
