Gemeindename,Score,Total Anzahl Dossiers,Total Sozialhilfequote,Total Sozialhilfequote Schweizer,Total Sozialhilfequote Ausländer,Alter 0-17,Alter 18-64,Alter 65+,obligatorische Schule,sekundarstufe I,tertiärstufe,Personenschaden absolut mit Personenschaden,Personenschaden pro 1000 Einwohner,Durchschnitt Anzahl 2017-2021,davon getötete Personen,davon verletze Personen,Lenker/innen,Mitfahrer/innen,Fussgänger/innen,Fahrzeugähnliche Geräte,Rank,Longitude,Latitude,Distanz zu nächsten Prontoshop in km,Median Einkommen,Ergänzungsleistungen in % zu Median,Einkommen aus Vermögenserträgen,Frei verfügbares Einkommen,20000,100000,1000000,Total Aktiven,Finanzvermögen¹,Verwaltungsvermögen,Total Passiven,Fremdkapital,Eigenkapital,Spezielfinanzierung EK,Fond im EK,Aufwertungsreserven,überiges Eigentkapital,Bilanzüberschuss
Hochdorf,6.3207038965703,123.0,2.3,1.3,5.7,4.4,2.2,0.1,2.3,1.2,0.0,16,1.6,17.0,0,17,12,3,2,0,58.0,8.293,47.167,0.269918348516138,94900.0,3.9,0.0,31488.0,1.4676999999999998,13.45064,19.5756566,187708879,107119419,80589460,187708879,110058769,77650110,17703501,263543,28395593,0,31287473
Hohenrain,1.2569581612497756,8.0,0.5,0.5,0.0,0.4,0.5,0.3,0.0,0.0,0.0,9,3.7,5.0,0,9,9,0,0,0,28.0,8.318,47.179,2.583229546232219,109345.0,1.7,1.6,34885.0,1.556875,14.432,20.20764,36227877,14513146,21714731,36227877,18014794,18213083,11295524,95779,0,0,6821779
Horw,10.055665289998204,231.0,2.5,1.6,6.4,4.3,2.7,0.4,6.7,1.5,0.3,25,1.7,23.0,0,29,27,1,1,0,62.0,8.313,47.019,0.8828898424165649,97881.0,4.2,0.1,34273.0,1.2955,11.5556,16.808089000000002,384928403,166256524,218671878,384928403,132092994,252835409,49863557,1741828,7000000,0,194230025
Inwil,2.908960316035195,15.0,0.6,0.6,1.1,0.3,0.8,0.3,0.0,0.0,0.0,14,5.0,13.0,0,23,18,5,0,0,49.0,8.35,47.122,5.074026586369874,111301.0,1.6,0.1,36431.0,1.4000499999999998,12.70616,18.4883979,27066970,11452399,15614572,27066970,9846264,17220706,6073523,444401,1506144,0,9196638
Knutwil,1.4544801580175974,9.0,0.5,0.3,2.6,0.7,0.6,0.0,0.0,0.0,0.0,7,3.0,10.0,0,7,6,1,0,0,30.0,8.073,47.202,4.0393832445975,116940.0,1.5,5.8,37229.0,1.51075,13.9244,20.20764,33839296,11960037,21879259,33839296,19885293,13954003,5261277,65411,1048073,0,7579242
Kriens,27.024600466870176,590.0,3.6,2.0,9.8,7.3,3.7,0.1,7.3,1.9,0.5,55,1.9,53.0,0,73,59,9,4,1,64.0,8.279,47.033,0.8103959075889757,86729.0,5.0,0.0,29800.0,1.440025,13.14608,19.13086895,405091731,137540394,267551337,405091731,259477564,145614167,101901131,1098823,6028800,0,36585413
Luthern,0.6464356257855989,8.0,1.3,1.2,3.4,2.3,1.3,0.0,0.0,0.0,0.0,2,1.6,2.0,0,4,2,2,0,0,14.0,7.916,47.059,11.930607051601106,82343.0,4.2,0.0,23407.0,1.618375,15.1088,20.20764,22789174,9091712,13697463,22789174,10006222,12782953,5377405,89626,1536770,0,5779152
Luzern,100.0,2312.0,4.4,2.5,10.2,9.3,4.5,0.2,11.9,2.3,0.4,244,2.9,225.0,1,288,209,44,33,3,66.0,8.297,47.05,0.6819835921227172,82143.0,6.3,0.0,28831.0,1.38775,12.570800000000002,18.2907145,2269177192,958667547,1310509646,2269177192,690496848,1578680345,127362320,16530196,972238917,0,462548911
Malters,4.130005386963549,87.0,1.8,1.3,5.0,2.5,1.9,0.3,3.0,1.5,0.1,13,1.7,13.0,0,13,11,0,2,0,55.0,8.183,47.036,6.473603414459875,99534.0,3.4,0.0,32259.0,1.470775,13.484479999999998,19.62507745,94775387,30362236,64413151,94775387,52503113,42272275,5876608,653087,45660,0,35696920
Mauensee,0.9516968935176872,5.0,0.7,0.3,4.8,1.8,0.5,0.5,0.0,0.0,0.0,4,2.6,2.0,0,10,7,3,0,0,23.0,8.067,47.168,2.8466380650724177,127603.0,1.4,4.9,41562.0,1.464625,13.4168,19.52623575,17939830,12369588,5570242,17939830,6084972,11854858,3561452,20055,1978246,0,6295104
